	d1	d2	d3	d4	d5
five	0.699	0	0	0	0
document	0.222	0.222	0.222	0	0
first	0.699	0	0	0	0
each	0	0.349	0	0	0
will	0	0.199	0	0	0.398
singl	0	0.349	0	0	0
line	0	0.199	0	0.398	0
titl	0	0.349	0	0	0
separat	0	0.349	0	0	0
tab	0	0.199	0.398	0	0
charact	0	0.349	0	0	0
why	0	0	0.699	0	0
well	0	0	0.699	0	0
just	0	0	0.699	0	0
space	0	0	0.699	0	0
confus	0	0	0.699	0	0
rest	0	0	0.699	0	0
whitespac	0	0	0.699	0	0
easier	0	0	0.699	0	0
you	0	0	0	0.699	0
need	0	0	0	0.699	0
look	0	0	0	0.699	0
carriag	0	0	0	0.398	0.398
return	0	0	0	0.398	0.398
though	0	0	0	0.699	0
languag	0	0	0	0.398	0.398
allow	0	0	0	0.699	0
entiti	0	0	0	0.699	0
other	0	0	0	0	0.699
insist	0	0	0	0	0.699
block	0	0	0	0	0.699
text	0	0	0	0	0.699
delineat	0	0	0	0	0.699
statement	0	0	0	0	0.699
